timestamp,power_w
2025-11-30T21:19:37.776407,136.3
2025-11-30T21:19:39.777989,69
2025-11-30T21:19:39.785392,69
2025-11-30T21:19:40.769006,64.8
2025-11-30T21:19:41.803569,49.1
2025-11-30T21:19:41.811063,49.1
2025-11-30T21:19:42.537108,49.1
2025-11-30T21:19:42.752458,41.7
2025-11-30T21:19:43.771367,33.8
2025-11-30T21:19:43.777822,33.8
2025-11-30T21:19:44.756529,66.6
2025-11-30T21:19:45.768703,49.2
2025-11-30T21:19:45.776484,49.2
2025-11-30T21:19:46.763589,20.7
2025-11-30T21:19:47.768930,24.2
2025-11-30T21:19:47.774381,24.2
2025-11-30T21:19:48.758097,25.9
2025-11-30T21:19:50.755755,27.2
2025-11-30T21:19:51.781586,7.8
2025-11-30T21:19:51.787923,7.8
2025-11-30T21:19:52.509479,7.8
2025-11-30T21:19:55.839593,35
2025-11-30T21:19:55.845517,35
2025-11-30T21:19:56.757116,176.4
2025-11-30T21:19:57.772697,121.1
2025-11-30T21:19:57.778117,121.1
2025-11-30T21:19:59.773076,79.6
2025-11-30T21:19:59.780018,79.6
2025-11-30T21:19:59.973950,79.6
2025-11-30T21:20:00.759473,85.7
2025-11-30T21:20:01.776500,43.9
2025-11-30T21:20:01.782243,43.9
2025-11-30T21:20:02.544214,43.9
2025-11-30T21:20:03.768141,40.7
2025-11-30T21:20:03.795594,40.7
2025-11-30T21:20:06.785766,68.1
2025-11-30T21:20:07.856097,42.4
2025-11-30T21:20:08.751845,22.7
2025-11-30T21:20:09.769713,26.5
2025-11-30T21:20:09.774732,26.5
2025-11-30T21:20:10.754535,28.7
2025-11-30T21:20:11.758256,29.4
2025-11-30T21:20:12.508748,29.4
2025-11-30T21:20:13.774876,7.4
2025-11-30T21:20:13.780126,7.4
2025-11-30T21:20:16.830452,39.2
2025-11-30T21:20:17.769148,173.9
2025-11-30T21:20:17.774067,173.9
2025-11-30T21:20:18.757488,72.3
2025-11-30T21:20:19.769610,89.4
2025-11-30T21:20:19.775473,89.4
2025-11-30T21:20:20.759305,115.4
2025-11-30T21:20:21.769553,71.3
2025-11-30T21:20:21.774629,71.3
2025-11-30T21:20:22.510828,71.3
2025-11-30T21:20:22.759151,52.7
2025-11-30T21:20:23.769119,37
2025-11-30T21:20:23.774708,37
2025-11-30T21:20:24.754678,35
2025-11-30T21:20:26.763977,37.9
2025-11-30T21:20:27.773473,67.7
2025-11-30T21:20:27.778784,67.7
2025-11-30T21:20:28.755765,25
2025-11-30T21:20:29.774324,23.1
2025-11-30T21:20:29.779479,23.1
2025-11-30T21:20:30.758763,24.8
2025-11-30T21:20:32.524951,25.3
2025-11-30T21:20:32.754892,26.4
2025-11-30T21:20:33.767878,37.1
2025-11-30T21:20:33.774545,37.1
2025-11-30T21:20:34.758112,60.4
2025-11-30T21:20:35.773346,68.8
2025-11-30T21:20:35.837373,68.8
2025-11-30T21:20:36.756477,73.9
2025-11-30T21:20:37.771789,78.8
2025-11-30T21:20:37.776965,78.8
2025-11-30T21:20:38.758025,83.3
2025-11-30T21:20:39.770777,94.7
2025-11-30T21:20:39.775698,94.7
2025-11-30T21:20:41.769930,71.3
2025-11-30T21:20:41.814087,71.3
2025-11-30T21:20:42.510650,71.3
2025-11-30T21:20:42.757077,54.8
2025-11-30T21:20:43.771770,49.6
2025-11-30T21:20:43.779557,49.6
